,MCC,ACC,F1-macro,F1-micro,F1-weighted,Kappa
0,0.5406770864247024,0.75,0.6510394587539187,0.75,0.7352352541468413,0.5328939387812865
1,0.5709727828418901,0.7598684210526315,0.6535960953364895,0.7598684210526314,0.7545727876570886,0.5686434583163256
2,0.5298976520702677,0.743421052631579,0.6187736034482061,0.7434210526315789,0.7259936597875499,0.5209213051823416
3,0.6000720980119226,0.7763157894736842,0.6572359577935716,0.7763157894736842,0.7638281587834701,0.595768395940476
4,0.5978852923147076,0.7796052631578947,0.6355072211525175,0.7796052631578947,0.7615289029329462,0.5874584784898322
5,0.5891152559851115,0.7763157894736842,0.6212734608118368,0.7763157894736842,0.7617584357005718,0.5813774528664872
6,0.5366591116895306,0.7467105263157895,0.6013309467793365,0.7467105263157896,0.7321422299972697,0.5307983723866986
7,0.619909243745561,0.7894736842105263,0.7113826876958452,0.7894736842105263,0.7770628259092315,0.6117341847934543
8,0.5686630698361729,0.756578947368421,0.6592929740946989,0.7565789473684209,0.7434279709101784,0.5650929899856938
9,0.5491003712593878,0.75,0.6205550628771507,0.75,0.7403296315478739,0.5450983480674949
10,0.556836432586801,0.756578947368421,0.6172290963985391,0.7565789473684209,0.7418429274270996,0.5514346673047397
11,0.546147112270392,0.75,0.6320371951903753,0.75,0.7407514644518818,0.5421414557777294
12,0.5494242922857411,0.7532894736842105,0.6569869117237538,0.7532894736842106,0.7369011344149847,0.5404059747223285
13,0.5989360534530547,0.7796052631578947,0.6693592660907366,0.7796052631578947,0.7658630154197339,0.590543583145706
14,0.568615994344578,0.756578947368421,0.6477111480491388,0.7565789473684209,0.7509508709781482,0.566358887368198
15,0.6365470433057142,0.7993421052631579,0.7409198620717984,0.799342105263158,0.7897307893126634,0.6300079808459698
16,0.4887695846789954,0.7171052631578947,0.5515309116294338,0.7171052631578947,0.7061813211411344,0.48581992683790287
17,0.5389777193255154,0.75,0.554065253676193,0.75,0.7326377825387893,0.5296799934858727
18,0.5108569003042819,0.7236842105263158,0.6120433995283453,0.7236842105263158,0.714145820716713,0.508658508427615
19,0.5706987363857584,0.7664473684210527,0.6643152693407754,0.7664473684210528,0.7511568153121709,0.5584197712719163
20,0.5186770557804197,0.7401315789473685,0.6000811387505941,0.7401315789473684,0.7258333549081637,0.5113733468972534
21,0.6396313850946209,0.8026315789473685,0.7042724819040608,0.8026315789473685,0.7875755329962393,0.624992290137544
22,0.5299238740016738,0.7401315789473685,0.6199907542874183,0.7401315789473684,0.7275823999076431,0.5250563619823596
23,0.5772824564245975,0.7664473684210527,0.6212844690308609,0.7664473684210528,0.7518011045442277,0.5710225578853225
24,0.5821454482087329,0.7631578947368421,0.6221016859524698,0.7631578947368421,0.7569451914009548,0.5801588214984463
