,Baso/Eos/Mast,Ery/Meg,Lym/DC,Mono,Neutro
0,82.54551820728292,74.22056540908999,71.43566853350384,76.49784173241422,75.02956715491341
5,81.4546130952381,73.26007808616502,72.1214885025369,76.47727401931006,75.36454310796417
10,81.32936507936508,72.93494476980716,72.9325564536665,76.7991685580581,76.12671954084696
15,82.40968801313629,71.84377650397069,73.11584123202067,76.7107794738996,76.85232668969184
20,82.95855379188714,71.78232134417702,73.842849817202,76.59321906118818,77.80877046545329
25,86.26190476190477,72.72401286137553,73.77781575149997,76.72118012985067,77.52115872760795
30,85.68948412698414,72.6025706319824,74.39836369081652,76.414580504927,77.1696247735029
35,87.41883116883118,72.9187795327036,76.14711252466356,76.13979828290032,78.86363220766302
40,87.82738095238096,72.33676141210388,76.57130309304222,76.25163049381834,79.14278985608625
45,87.18671679197996,72.79477984701867,76.919363705078,76.59897375193749,79.99328704920809
50,88.6204481792717,72.65293449719681,77.91885015569227,75.97266158115939,81.43362193362192
55,92.65873015873017,70.76052735143644,79.6628045157457,76.51021558910203,82.53326453907849
60,92.13435374149661,69.69719056453751,79.01433691756273,76.63669708229916,83.76936659831398
65,90.82341269841271,67.40687606966677,79.82951205173428,76.44053482133813,83.25579892744072
70,90.41666666666666,65.0944775944776,83.25741890959283,77.05599788184057,84.72715880610616
75,89.35185185185185,63.03065214355538,85.28822055137846,77.7629406350879,89.3161525974026
80,88.09523809523809,63.758008658008656,82.5297619047619,77.34787036167873,89.92566643882434
85,83.33333333333334,62.86340852130327,84.44444444444444,78.71524912281271,89.96006866696523
90,87.5,61.492673992673986,85.41666666666667,78.8515020503834,92.10526315789474
95,100.0,73.55442176870748,79.16666666666667,80.41246041506189,95.0
